,MSK51,MSK2390
TO1000125_CYTMEM__plas,1,1
R07762__cyto,1,1
TR2900310_CYTMEM__plas,1,1
R00939__cyto,1,1
R01315__e_r_,1,1
TO1003705_CYTMEM__plas,1,1
R07238__mito,1,1
R05190__cyto,1,1
EX_C00300__extr,1,1
TR1000074_CYTMEM__plas,1,1
TR2900153_CYTMEM__plas,1,1
R01899__mito,1,1
EX_C00330__extr,1,1
R04953__cyto,1,1
EX_C00157__extr,1,1
TR0000829_CYTMEM__plas,1,1
TO1001017_CYTMEM__plas,1,1
R01324__cyto,1,1
R02408__cyto,1,1
R04990__mito,1,1
TO1000493_CYTMEM__plas,1,1
TR2900160_CYTMEM__plas,1,1
R03341__cyto,1,1
TO0000654_CYTMEM__plas,1,1
R04543__cyto,1,1
R03968__cyto,1,1
EX_C00216__extr,1,1
TR0012582_CYTMEM__plas,1,1
R00181__cyto,1,1
R02297__cyto,1,1
R04982__cyto,1,1
R01082__mito,1,1
R03469__cyto,1,1
R00702__cyto,1,1
R01954__cyto,1,1
TR0000012_CYTMEM__plas,1,1
TR0000067_CYTMEM__plas,1,1
R00089__cyto,1,1
R00372__cyto,1,1
R00529__cyto,1,1
TR1000644_CYTMEM__plas,1,1
R11218__mito,1,1
R01074__cyto,1,1
EX_C04489__extr,1,1
TR0011715_CYTMEM__plas,1,1
R07043__cyto,1,1
R00648__cyto,1,1
EX_C04324__extr,1,1
TR2900039_CYTMEM__plas,1,1
R03596__cyto,1,1
EX_C14818__extr,1,1
R12085__cyto,1,1
R00494__cyto,1,1
EX_C04052__extr,1,1
T_threonine_c00188_CytoMito___plas,1,1
EX_C00063__extr,1,1
R06527__cyto,1,1
R00707__mito,1,1
EX_C00181__extr,1,1
R00114__cyto,1,1
R03088__cyto,1,1
R03654__cyto,1,1
TO1000310_CYTMEM__plas,1,1
TR1000258_CYTMEM__plas,1,1
R12423__mito,1,1
R00927__cyto,1,1
EX_C00499__extr,1,1
R00719__cyto,1,1
R03050__mito,1,1
R00935__cyto,1,1
R03659__cyto,1,1
R04911__cyto,1,1
TR0000776_CYTMEM__plas,1,1
R11319__cyto,1,1
TR0015541_CYTMEM__plas,1,1
R01041__cyto,1,1
R00122__cyto,1,1
R01354__cyto,1,1
R00330__cyto,1,1
TR1008367_CYTMEM__plas,1,1
T_Ethylamine_CytoPero__pero,1,1
EX_C00022__extr,1,1
R02697__pero,1,1
R01082__cyto,1,1
TR2900183_CYTMEM__plas,1,1
R00994__cyto,1,1
R00335__cyto,1,1
R04360__cyto,1,1
EX_C00681__extr,1,1
R05069__mito,1,1
EX_C00055__extr,1,1
R09365__cyto,1,1
TR2901049_CYTMEM__plas,1,1
EX_C01054__extr,1,1
EX_C00114__extr,1,1
TR1000108_CYTMEM__plas,1,1
R01320__cyto,1,1
R03096__cyto,1,1
R04957__cyto,1,1
EX_C00068__extr,1,1
R04586__cyto,1,1
TR0012599_CYTMEM__plas,1,1
R00369__cyto,1,1
EX_C00842__extr,1,1
TR2900120_CYTMEM__plas,1,1
R12026__cyto,1,1
R07238__cyto,1,1
R03302__pero,1,1
TR0000015_CYTMEM__plas,1,1
EX_Fatty_acid__extr,1,1
R00706__cyto,1,1
R07364__cyto,1,1
R00774__cyto,1,1
R03646__cyto,1,1
R00115__cyto,1,1
EX_C00460__extr,1,1
EX_C04637__extr,1,1
EX_C06620__extr,1,1
TR2900171_CYTMEM__plas,1,1
R04640__cyto,1,1
R01519__cyto,1,1
EX_C00283__extr,1,1
EX_C05356__extr,1,1
R00926__cyto,1,1
TZ2900003_CYTMEM__plas,1,1
EX_C03715__extr,1,1
R08282__cyto,1,1
R09366__cyto,1,1
R02124__cyto,1,1
R00271__cyto,1,1
R01579__cyto,1,1
R00156__cyto,1,1
TO1001217_CYTMEM__plas,1,1
R00217__mito,1,1
R01959__cyto,1,1
R11527__cyto,1,1
TR0002198_CYTMEM__plas,1,1
TR2900227_CYTMEM__plas,1,1
R01201__cyto,1,1
EX_C05847__extr,1,1
TR0011789_CYTMEM__plas,1,1
T_Agmatine__plas,1,1
EX_C00558__extr,1,1
R10828__cyto,1,1
R01858__cyto,1,1
R04958__cyto,1,1
R05724__cyto,1,1
R05071__cyto,1,1
R12185__cyto,1,1
T_Linoleoyl_CoA_c02050_CytoPero__plas,1,1
R00876__cyto,1,1
EX_C02348__extr,1,1
TO0021423_CYTMEM__plas,1,1
R09375__cyto,0,0
R01920__cyto,1,1
R04891__pero,1,1
TR2900009_CYTMEM__plas,1,1
R00217__cyto,1,1
R05064__cyto,1,1
R00715__cyto,1,1
R07140__cyto,1,1
TO1000506_CYTMEM__plas,1,1
EX_C00123__extr,1,1
R01138__cyto,1,1
TR0020344_CYTMEM__plas,1,1
R01641__cyto,1,1
R04892__pero,1,1
R03875__cyto,1,1
R00274__cyto,1,1
TR0012438_CYTMEM__plas,1,1
R00714__cyto,1,1
TR2900121_CYTMEM__plas,1,1
T_ATP_ADP_Mito_Antiporter__mito,1,1
R03655__cyto,1,1
TR0000096_CYTMEM__plas,1,1
R00158__cyto,1,1
EX_C00064__extr,1,1
R08283__cyto,1,1
TR2900172_CYTMEM__plas,1,1
R03435__cyto,1,1
EX_C00122__extr,1,1
R07136__cyto,1,1
R01139__cyto,1,1
R04480__cyto,1,1
EX_C04737__extr,1,1
TR2900035_CYTMEM__plas,1,1
EX_C00020__extr,1,1
EX_C00247__extr,1,1
T_C3107_D_Glucono_1_5_lactone___plas,1,1
R03838__cyto,1,1
R01175__cyto,1,1
EX_C05697__extr,1,1
R02199__mito,1,1
R03098__cyto,1,1
TR1000048_CYTMEM__plas,1,1
TR2900852_CYTMEM__plas,1,1
T_S_Adenosyl_L_Homocysteine_c00021_MitoCyto__plas,1,1
R02530__cyto,1,1
R04954__cyto,1,1
R01799__cyto,1,1
TR0003387_CYTMEM__plas,1,1
EX_C00526__extr,1,1
R07679__cyto,1,1
EX_C00025__extr,1,1
R03991__cyto,1,1
R04544__cyto,1,1
EX_C00242__extr,1,1
R03332__cyto,1,1
R04231__cyto,1,1
EX_C00378__extr,1,1
R00185__cyto,1,1
T_Choline_c00114_ExtrCyto__plas,1,1
TO0003705_CYTMEM__plas,1,1
R11098__cyto,1,1
R01397__cyto,1,1
EX_C04549__extr,1,1
TR0003476_CYTMEM__plas,1,1
Carbohydrates__cyto,1,1
R07763__cyto,1,1
TR0008685_CYTMEM__plas,1,1
TR0000903_CYTMEM__plas,1,1
TR0003443_CYTMEM__plas,1,1
R07393__cyto,1,1
TR2900290_CYTMEM__plas,1,1
TR0000577_CYTMEM__plas,1,1
TR1000104_CYTMEM__plas,1,1
EX_C00183__extr,1,1
R01481__cyto,1,1
R02382__cyto,1,1
R00965__cyto,1,1
R11219__cyto,1,1
